Date,Liquidity Cost
04/01/2008,1.04
11/01/2008,1.41
18/01/2008,1.32
25/01/2008,1.28
01/02/2008,1.01
08/02/2008,1
15/02/2008,1.21
22/02/2008,1.09
29/02/2008,1.27
07/03/2008,1.12
14/03/2008,1.01
21/03/2008,1.36
28/03/2008,1.46
04/04/2008,1.49
11/04/2008,1.29
18/04/2008,1.32
25/04/2008,1.14
02/05/2008,1.22
09/05/2008,1.37
16/05/2008,1.27
23/05/2008,1.32
30/05/2008,1.06
06/06/2008,1.23
13/06/2008,1.43
20/06/2008,1.01
27/06/2008,1.08
04/07/2008,1.13
11/07/2008,1.34
18/07/2008,1.12
25/07/2008,1.28
01/08/2008,1.36
08/08/2008,1.36
15/08/2008,1.08
22/08/2008,1.44
29/08/2008,1.32
05/09/2008,1
12/09/2008,1.25
19/09/2008,1.05
26/09/2008,1.43
03/10/2008,1.49
10/10/2008,1.41
17/10/2008,1.45
24/10/2008,1.46
31/10/2008,1.4
07/11/2008,1.16
14/11/2008,1.24
21/11/2008,1.02
28/11/2008,1.32
05/12/2008,1.12
12/12/2008,1.16
19/12/2008,1.22
26/12/2008,1.25
02/01/2009,1.2
09/01/2009,1.35
16/01/2009,1.21
23/01/2009,1.33
30/01/2009,1
06/02/2009,1.45
13/02/2009,1.11
20/02/2009,1.19
27/02/2009,1.23
06/03/2009,1.21
13/03/2009,1.4
20/03/2009,1.47
27/03/2009,1.08
03/04/2009,1.41
10/04/2009,1.32
17/04/2009,1.11
24/04/2009,1.29
01/05/2009,1.06
08/05/2009,1.17
15/05/2009,1.38
22/05/2009,1.38
29/05/2009,1.49
05/06/2009,1.18
12/06/2009,1.29
19/06/2009,1.49
26/06/2009,1
03/07/2009,1.06
10/07/2009,1.19
17/07/2009,1.49
24/07/2009,1.2
31/07/2009,1.29
07/08/2009,1.47
14/08/2009,1.24
21/08/2009,1
28/08/2009,1.49
04/09/2009,1.18
11/09/2009,1.02
18/09/2009,1.26
25/09/2009,1.26
02/10/2009,1.22
09/10/2009,1.03
16/10/2009,1.5
23/10/2009,1.48
30/10/2009,1.04
06/11/2009,1.47
13/11/2009,1.25
20/11/2009,1.14
27/11/2009,1.46
04/12/2009,1.18
11/12/2009,1.42
18/12/2009,1.05
25/12/2009,1.22
01/01/2010,1.37
08/01/2010,1.24
15/01/2010,1.43
22/01/2010,1.09
29/01/2010,1.03
05/02/2010,1.41
12/02/2010,1.02
19/02/2010,1.18
26/02/2010,1.46
05/03/2010,1.02
12/03/2010,1.35
19/03/2010,1.15
26/03/2010,1.21
02/04/2010,1.05
09/04/2010,1.06
16/04/2010,1.28
23/04/2010,1.33
30/04/2010,1.25
07/05/2010,1.17
14/05/2010,1.43
21/05/2010,1.2
28/05/2010,1.23
04/06/2010,1.22
11/06/2010,1.26
18/06/2010,1.32
25/06/2010,1.19
02/07/2010,1.24
09/07/2010,1.47
16/07/2010,1.39
23/07/2010,1.01
30/07/2010,1.26
06/08/2010,1.08
13/08/2010,1.47
20/08/2010,1.12
27/08/2010,1.02
03/09/2010,1.42
10/09/2010,1.48
17/09/2010,1.2
24/09/2010,1.2
01/10/2010,1.33
08/10/2010,1.43
15/10/2010,1.18
22/10/2010,1
29/10/2010,1.01
05/11/2010,1.45
12/11/2010,1.19
19/11/2010,1.09
26/11/2010,1.21
03/12/2010,1.04
10/12/2010,1.28
17/12/2010,1.25
24/12/2010,1.26
31/12/2010,1.09
07/01/2011,1.27
14/01/2011,1.37
21/01/2011,1.36
28/01/2011,1.05
04/02/2011,1.1
11/02/2011,1.24
18/02/2011,1.45
25/02/2011,1.35
04/03/2011,1.07
11/03/2011,1.07
18/03/2011,1.19
25/03/2011,1.2
01/04/2011,1.46
08/04/2011,1.34
15/04/2011,1.08
22/04/2011,1.36
29/04/2011,1.16
06/05/2011,1.17
13/05/2011,1.22
20/05/2011,1.3
27/05/2011,1.44
03/06/2011,1.28
10/06/2011,1.21
17/06/2011,1.08
24/06/2011,1.26
01/07/2011,1.38
08/07/2011,1.23
15/07/2011,1.4
22/07/2011,1.23
29/07/2011,1.03
05/08/2011,1.36
12/08/2011,1.5
19/08/2011,1.06
26/08/2011,1.31
02/09/2011,1.4
09/09/2011,1.34
16/09/2011,1.46
23/09/2011,1.36
30/09/2011,1.24
07/10/2011,1.38
14/10/2011,1.05
21/10/2011,1.13
28/10/2011,1.12
04/11/2011,1
11/11/2011,1.29
18/11/2011,1.41
25/11/2011,1.05
02/12/2011,1.04
09/12/2011,1
16/12/2011,1.05
23/12/2011,1.36
30/12/2011,1.35
06/01/2012,1.26
13/01/2012,1.41
20/01/2012,1.2
27/01/2012,1.11
03/02/2012,1.24
10/02/2012,1.06
17/02/2012,1.1
24/02/2012,1.38
02/03/2012,1.4
09/03/2012,1.23
16/03/2012,1.24
23/03/2012,1.23
30/03/2012,1.23
06/04/2012,1.28
13/04/2012,1.43
20/04/2012,1.03
27/04/2012,1.26
04/05/2012,1.15
11/05/2012,1.13
18/05/2012,1.18
25/05/2012,1.33
01/06/2012,1.43
08/06/2012,1.18
15/06/2012,1.16
22/06/2012,1.01
29/06/2012,1.11
06/07/2012,1.29
13/07/2012,1.05
20/07/2012,1.39
27/07/2012,1.18
03/08/2012,1.26
10/08/2012,1.46
17/08/2012,1
24/08/2012,1.42
31/08/2012,1.2
07/09/2012,1.48
14/09/2012,1.41
21/09/2012,1.17
28/09/2012,1.17
05/10/2012,1.16
12/10/2012,1.15
19/10/2012,1.03
26/10/2012,1.25
02/11/2012,1.25
09/11/2012,1.06
16/11/2012,1.38
23/11/2012,1.3
30/11/2012,1.21
07/12/2012,1.44
14/12/2012,1.29
21/12/2012,1.4
28/12/2012,1.34
04/01/2013,1.05
11/01/2013,1.47
18/01/2013,1.13
25/01/2013,1.36
01/02/2013,1.15
08/02/2013,1.36
15/02/2013,1.44
22/02/2013,1.12
01/03/2013,1.21
08/03/2013,1.38
15/03/2013,1.12
22/03/2013,1.16
29/03/2013,1.01
05/04/2013,1.26
12/04/2013,1.41
19/04/2013,1.05
26/04/2013,1.02
03/05/2013,1.04
10/05/2013,1.4
17/05/2013,1.26
24/05/2013,1.25
31/05/2013,1.35
07/06/2013,1.32
14/06/2013,1.41
21/06/2013,1.18
28/06/2013,1.36
05/07/2013,1.02
12/07/2013,1.45
19/07/2013,1.32
26/07/2013,1.07
02/08/2013,1.25
09/08/2013,1.3
16/08/2013,1.24
23/08/2013,1.43
30/08/2013,1.12
06/09/2013,1.23
13/09/2013,1.05
20/09/2013,1.2
27/09/2013,1
04/10/2013,1.14
11/10/2013,1.41
18/10/2013,1.38
25/10/2013,1.13
01/11/2013,1.48
08/11/2013,1.21
15/11/2013,1.33
22/11/2013,1.1
29/11/2013,1.36
06/12/2013,1.03
13/12/2013,1.48
20/12/2013,1.46
27/12/2013,1.25
03/01/2014,1.13
10/01/2014,1.25
17/01/2014,1.05
24/01/2014,1.07
31/01/2014,1.17
07/02/2014,1.07
14/02/2014,1.2
21/02/2014,1.17
28/02/2014,1.42
07/03/2014,1.08
14/03/2014,1.09
21/03/2014,1.05
28/03/2014,1.42
04/04/2014,1.35
11/04/2014,1.44
18/04/2014,1.03
25/04/2014,1.45
02/05/2014,1.11
09/05/2014,1.13
16/05/2014,1.13
23/05/2014,1.23
30/05/2014,1.2
06/06/2014,1.31
13/06/2014,1.13
20/06/2014,1.16
27/06/2014,1.26
04/07/2014,1.11
11/07/2014,1.24
18/07/2014,1.07
25/07/2014,1.41
01/08/2014,1.11
08/08/2014,1.06
15/08/2014,1.47
22/08/2014,1.36
29/08/2014,1.31
05/09/2014,1.35
12/09/2014,1.28
19/09/2014,1.21
26/09/2014,1.21
03/10/2014,1.13
10/10/2014,1.33
17/10/2014,1.26
24/10/2014,1.49
31/10/2014,1.06
07/11/2014,1.49
14/11/2014,1.39
21/11/2014,1.43
28/11/2014,1.08
05/12/2014,1.34
12/12/2014,1.27
19/12/2014,1.13
26/12/2014,1.41
02/01/2015,1.24
09/01/2015,1.31
16/01/2015,1.48
23/01/2015,1.06
30/01/2015,1.24
06/02/2015,1.04
13/02/2015,1.38
20/02/2015,1.33
27/02/2015,1.01
06/03/2015,1.21
13/03/2015,1.36
20/03/2015,1.15
27/03/2015,1.28
03/04/2015,1.11
10/04/2015,1.44
17/04/2015,1.23
24/04/2015,1.5
01/05/2015,1.23
08/05/2015,1.24
15/05/2015,1.33
22/05/2015,1.25
29/05/2015,1.12
05/06/2015,1.13
12/06/2015,1
19/06/2015,1.03
26/06/2015,1.11
03/07/2015,1.24
10/07/2015,1.13
