Date,Northman Global Income,BofAML GBP LIBOR 1 Mon CM TR GBP
01/01/2006,1000,1000
02/01/2006,1023.948708,1010.058966
03/01/2006,1031.332696,1015.949904
04/01/2006,1026.105037,1011.785314
05/01/2006,1035.165926,1019.011056
06/01/2006,1035.098855,1018.957664
09/01/2006,1044.64516,1026.557151
10/01/2006,1054.352688,1034.270722
11/01/2006,1055.172646,1034.921046
12/01/2006,1049.682624,1030.567485
13/01/2006,1056.327417,1035.842339
16/01/2006,1046.939964,1028.399737
17/01/2006,1038.911366,1022.022944
18/01/2006,1045.610363,1027.351992
19/01/2006,1040.880884,1023.594562
20/01/2006,1038.268425,1021.517136
23/01/2006,1032.115235,1016.621639
24/01/2006,1048.126039,1029.375224
25/01/2006,1052.266241,1032.662975
26/01/2006,1066.882301,1044.260428
27/01/2006,1065.28423,1042.995908
30/01/2006,1060.833807,1039.473317
31/01/2006,1070.251597,1046.933984
01/02/2006,1082.655861,1056.743044
02/02/2006,1085.455408,1058.951754
03/02/2006,1088.513172,1061.362929
06/02/2006,1082.534304,1056.651015
07/02/2006,1077.471922,1052.656932
08/02/2006,1096.956441,1068.044275
09/02/2006,1086.524189,1059.835238
10/02/2006,1093.387752,1065.246576
13/02/2006,1093.107251,1065.025705
14/02/2006,1092.92026,1064.878458
15/02/2006,1101.661782,1071.762269
16/02/2006,1105.711806,1074.946492
17/02/2006,1109.647687,1078.038686
20/02/2006,1108.405121,1077.063172
21/02/2006,1111.850704,1079.768843
22/02/2006,1103.313444,1073.069089
23/02/2006,1109.050717,1077.578538
24/02/2006,1112.660772,1080.413049
27/02/2006,1092.862832,1064.878458
28/02/2006,1105.156406,1074.559968
01/03/2006,1102.556297,1072.516912
02/03/2006,1108.573505,1077.247232
03/03/2006,1117.738128,1084.443944
06/03/2006,1108.253104,1077.007955
07/03/2006,1097.823506,1068.817323
08/03/2006,1107.882257,1076.731866
09/03/2006,1120.068658,1086.302941
10/03/2006,1130.614301,1094.567196
13/03/2006,1130.096614,1094.162266
14/03/2006,1133.508329,1096.831123
15/03/2006,1140.124015,1102.003185
16/03/2006,1141.585415,1103.144351
17/03/2006,1139.769981,1101.727096
20/03/2006,1139.675703,1101.653472
21/03/2006,1143.493895,1104.63523
22/03/2006,1139.39011,1101.432601
23/03/2006,1150.278455,1109.936133
24/03/2006,1135.142559,1098.137943
27/03/2006,1126.546961,1091.419785
28/03/2006,1132.072605,1095.745174
29/03/2006,1145.25308,1106.052486
30/03/2006,1133.315861,1096.739094
31/03/2006,1147.370022,1107.727424
03/04/2006,1142.744494,1104.119865
04/04/2006,1152.035161,1111.371794
05/04/2006,1152.413062,1111.666289
06/04/2006,1147.78347,1108.05873
07/04/2006,1157.436344,1115.586749
